epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.2584,1.25876,2.70835,1.47558,0.37988,0.33553,0.29066,0.17188,1.40737,2.84804,1.61712,0.000365461,0.000365461,0.000365461
2,71.0999,1.41322,2.03134,1.53405,0.28349,0.3736,0.24747,0.14265,1.67287,3.37038,2.00081,0.000717583,0.000717583,0.000717583
3,92.6196,1.4895,2.10092,1.60151,0.29614,0.34418,0.25094,0.13455,1.77436,2.56387,1.98809,0.00105137,0.00105137,0.00105137
4,114.263,1.49238,1.99457,1.61264,0.35985,0.29466,0.26286,0.14865,1.74671,2.95022,1.89902,0.00102851,0.00102851,0.00102851
5,135.901,1.48733,1.99042,1.60793,0.40014,0.35072,0.28863,0.17269,1.56709,2.85762,1.74933,0.00100101,0.00100101,0.00100101
6,157.716,1.42919,1.87201,1.54449,0.43942,0.39405,0.37927,0.23501,1.5082,2.04556,1.70164,0.000973514,0.000973514,0.000973514
7,179.604,1.43448,1.85838,1.59269,0.4097,0.41848,0.38819,0.2345,1.50419,2.46011,1.68133,0.000946016,0.000946016,0.000946016
8,201.382,1.36748,1.7631,1.50847,0.52935,0.39458,0.41245,0.27028,1.39549,1.81758,1.56961,0.000918519,0.000918519,0.000918519
9,223.248,1.36095,1.69747,1.49369,0.50748,0.44315,0.4355,0.27248,1.45041,1.83143,1.62244,0.000891022,0.000891022,0.000891022
10,245.201,1.31972,1.62612,1.47868,0.49508,0.48361,0.44504,0.29634,1.34407,1.6636,1.54357,0.000863525,0.000863525,0.000863525
11,267.176,1.32268,1.63577,1.48085,0.52143,0.46017,0.45385,0.29652,1.36628,1.67912,1.55884,0.000836027,0.000836027,0.000836027
12,289.167,1.30831,1.50053,1.47899,0.53827,0.48328,0.47896,0.31699,1.30904,1.605,1.50817,0.00080853,0.00080853,0.00080853
13,311.213,1.25451,1.48941,1.42931,0.58267,0.50127,0.51998,0.34689,1.28761,1.52073,1.48849,0.000781033,0.000781033,0.000781033
14,333.234,1.23264,1.4238,1.40007,0.57367,0.38463,0.41918,0.27303,1.36823,1.97472,1.538,0.000753536,0.000753536,0.000753536
15,355.261,1.20484,1.37557,1.39771,0.67851,0.47927,0.53846,0.37021,1.26044,1.48011,1.4763,0.000726038,0.000726038,0.000726038
16,377.427,1.25036,1.40168,1.41932,0.58997,0.5095,0.51802,0.3514,1.29977,1.51643,1.46519,0.000698541,0.000698541,0.000698541
17,399.437,1.19261,1.3303,1.38447,0.63534,0.54057,0.55987,0.37573,1.26469,1.37155,1.46593,0.000671044,0.000671044,0.000671044
18,421.501,1.19182,1.30161,1.3776,0.61953,0.54202,0.55458,0.38828,1.20647,1.41672,1.44314,0.000643547,0.000643547,0.000643547
19,443.606,1.21208,1.24984,1.39882,0.69569,0.50513,0.56797,0.38699,1.23297,1.40279,1.45103,0.000616049,0.000616049,0.000616049
