epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.0282,1.25513,1.93797,1.41832,0.54215,0.46383,0.50953,0.33964,1.1858,1.78762,1.37151,0.000360838,0.000360838,0.000360838
2,48.1848,1.23948,1.54306,1.36276,0.63069,0.53932,0.57358,0.38855,1.19452,1.61041,1.38435,0.000713074,0.000713074,0.000713074
3,59.2998,1.2064,1.62233,1.32661,0.53748,0.5601,0.54037,0.3489,1.23739,1.58175,1.40313,0.00104698,0.00104698,0.00104698
4,70.2805,1.20553,1.48113,1.33125,0.67697,0.50233,0.58094,0.38741,1.23087,1.56475,1.40927,0.00102851,0.00102851,0.00102851
5,81.3758,1.18887,1.37934,1.32342,0.60199,0.5878,0.59783,0.4093,1.18926,1.46644,1.36802,0.00100101,0.00100101,0.00100101
6,92.5428,1.16394,1.30121,1.3075,0.62225,0.52752,0.61735,0.42701,1.14874,1.36378,1.35561,0.000973514,0.000973514,0.000973514
7,103.71,1.18574,1.30329,1.32729,0.68285,0.47939,0.5583,0.36998,1.2248,1.54788,1.38828,0.000946016,0.000946016,0.000946016
8,114.786,1.15164,1.2859,1.3057,0.64007,0.59232,0.62842,0.42622,1.15156,1.37052,1.3365,0.000918519,0.000918519,0.000918519
9,125.939,1.15295,1.24894,1.3045,0.6442,0.59953,0.62058,0.4119,1.16376,1.33704,1.36928,0.000891022,0.000891022,0.000891022
10,137.07,1.1192,1.1807,1.28102,0.65712,0.5331,0.59977,0.40174,1.15994,1.44428,1.36293,0.000863525,0.000863525,0.000863525
11,148.236,1.07989,1.17954,1.25411,0.65582,0.63203,0.66711,0.46158,1.16,1.28631,1.35226,0.000836027,0.000836027,0.000836027
12,159.436,1.06546,1.11101,1.24225,0.69515,0.61605,0.65957,0.4487,1.13011,1.36147,1.30966,0.00080853,0.00080853,0.00080853
